courseKey,division,courseCode,courseTitle,capacity,beginTime,endTime,days,faculty
64,UG,BIO1400,Environmental Biology,24,9:30 AM,10:50 AM,TR,"BERRADA, Fouad"
65,UG,BIO1400L,Environmental Biology Lab,12,1:00 PM,2:50 PM,T,"BERRADA, Fouad"
66,UG,BIO1400L,Environmental Biology lab,12,3:00 PM,4:50 PM,T,"BERRADA, Fouad"
67,UG,CHE1400,Chemistry and the Environment,24,9:30 AM,10:50 AM,TR,"SENDIDE, Khalid"
68,UG,CHE1400L,Chemistry and the Environment Lab,12,1:00 PM,2:50 PM,T,
69,UG,CHE1400,Chemistry and the Environment,24,11:00 AM,12:20 PM,TR,"SENDIDE, Khalid"
70,UG,CHE1400L,Chemistry and the Environment Lab,12,3:00 PM,4:50 PM,T,"EL ASLI, Abdelghani"
71,UG,CHE1400,Chemistry and the Environment,24,11:00 AM,12:20 PM,TR,"EL ASLI, Abdelghani"
72,UG,CHE1400L,Chemistry and the Environment Lab,12,5:00 PM,6:50 PM,T,"EL ASLI, Abdelghani"
73,UG,CHE1400L,Chemistry and the Environment Lab,12,1:00 PM,2:50 PM,R,
74,UG,CHE1400L,Chemistry and the Environment Lab,12,3:40 PM,5:30 PM,W,
75,UG,CHE1400L,Chemistry and the Environment Lab,12,3:00 PM,4:50 PM,R,
76,UG,CHE1401,General Chemistry I,20,10:00 AM,10:50 AM,MWF,"EL HAJJAJI, Samir"
77,UG,CHE1401L,General Chemistry I Lab,10,1:40 PM,3:30 PM,M,"EL HAJJAJI, Samir"
78,UG,CHE1401,General Chemistry I,20,3:40 PM,5:00 PM,MW,"EL HAJJAJI, Samir"
79,UG,CHE1401L,General Chemistry I Lab,10,3:40 PM,5:30 PM,M,
80,UG,CHE1401L,General Chemistry I Lab,10,5:40 PM,7:30 PM,M,
81,UG,CHE1401L,General Chemistry I Lab,10,1:00 PM,2:50 PM,T,"EL HAJJAJI, Samir"
82,UG,CHE1402,General Chemistry II,14,11:00 AM,12:20 PM,TR,"OUARDAOUI, Abdelkrim"
83,UG,CHE1402L,General Chemistry II lab,14,3:40 PM,5:30 PM,W,"OUARDAOUI, Abdelkrim"
84,UG,CIP1001,Human Development  in Morocco,45,7:30 PM,9:00 PM,R,"ZEKRI, Salaheddine"
85,UG,CIP1001,Human Development  in Morocco,45,7:30 PM,9:00 PM,W,"ZEKRI, Salaheddine"
86,UG,CIP1001,Human Development  in Morocco,45,7:30 PM,9:00 PM,M,"ZEKRI, Salaheddine"
87,UG,CIP1001,Human Development  in Morocco,45,7:30 PM,9:00 PM,T,"ZEKRI, Salaheddine"
88,UG,CIP1001,Human Development  in Morocco,45,7:30 PM,9:00 PM,T,"ZEKRI, Salaheddine"
89,UG,CIP1001,Human Development  in Morocco,45,7:30 PM,9:00 PM,W,"ZEKRI, Salaheddine"
90,UG,CIP1002,The Role of Civil Soc in Human Dvlp,240,7:00 PM,9:00 PM,T,"ZEKRI, Salaheddine"
91,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,M,"ZEKRI, Salaheddine"
92,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,M,"ZEKRI, Salaheddine"
93,UG,CIP2000,Community Involvement Fieldwork,8,3:00 PM,4:30 PM,M,"ZEKRI, Salaheddine"
94,UG,CIP2000,Community Involvement Fieldwork,9,4:30 PM,6:00 PM,M,"ZEKRI, Salaheddine"
95,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,T,"ZEKRI, Salaheddine"
96,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,T,"ZEKRI, Salaheddine"
97,UG,CIP2000,Community Involvement Fieldwork,8,3:00 PM,4:30 PM,T,"ZEKRI, Salaheddine"
98,UG,CIP2000,Community Involvement Fieldwork,8,4:30 PM,6:00 PM,T,"ZEKRI, Salaheddine"
99,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,W,"ZEKRI, Salaheddine"
100,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,W,"ZEKRI, Salaheddine"
101,UG,CIP2000,Community Involvement Fieldwork,8,3:00 PM,4:30 PM,W,"ZEKRI, Salaheddine"
102,UG,CIP2000,Community Involvement Fieldwork,8,4:30 PM,6:00 PM,W,"ZEKRI, Salaheddine"
103,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,R,"ZEKRI, Salaheddine"
104,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,R,"ZEKRI, Salaheddine"
105,UG,CIP2000,Community Involvement Fieldwork,8,3:00 PM,4:30 PM,R,"ZEKRI, Salaheddine"
106,UG,CIP2000,Community Involvement Fieldwork,8,4:30 PM,6:00 PM,R,"ZEKRI, Salaheddine"
107,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,F,"ZEKRI, Salaheddine"
108,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,F,"ZEKRI, Salaheddine"
109,UG,CIP2000,Community Involvement Fieldwork,8,3:00 PM,4:30 PM,F,"ZEKRI, Salaheddine"
110,UG,CIP2000,Community Involvement Fieldwork,8,4:30 PM,6:00 PM,F,"ZEKRI, Salaheddine"
111,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,M,"ZEKRI, Salaheddine"
112,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,M,"ZEKRI, Salaheddine"
113,UG,CIP2000,Community Involvement Fieldwork,8,3:00 PM,4:30 PM,M,"ZEKRI, Salaheddine"
114,UG,CIP2000,Community Involvement Fieldwork,8,4:30 PM,6:00 PM,M,"ZEKRI, Salaheddine"
115,UG,CIP2000,Community Involvement Fieldwork,8,10:00 AM,11:30 AM,T,"ZEKRI, Salaheddine"
116,UG,CIP2000,Community Involvement Fieldwork,8,11:30 AM,1:00 PM,T,"ZEKRI, Salaheddine"
